"symbol_code","text_codes","primary_symbol_label","all_labels"
"185","/|)","accSagittal35MediumDiesisUp","accSagittal35MediumDiesisUp | SAGITTAL_35MDU"
"186","=|","accSagittal25SmallDiesisUp","accSagittal25SmallDiesisUp | SAGITTAL_25SDU"
"187","|)","accSagittal7CommaUp","accSagittal7CommaUp | SAGITTAL_7CU"
"188","/|","accSagittal5CommaUp","accSagittal5CommaUp | SAGITTAL_5CU"
"189","|(","accSagittal5v7KleismaUp","accSagittal5v7KleismaUp | SAGITTAL_5V7KU"
"190","!(","accSagittal5v7KleismaDown","accSagittal5v7KleismaDown | SAGITTAL_5V7KD"
"191","\!","accSagittal5CommaDown","accSagittal5CommaDown | SAGITTAL_5CD"
"192","!)","accSagittal7CommaDown","accSagittal7CommaDown | SAGITTAL_7CD"
"193","=!","accSagittal25SmallDiesisDown","accSagittal25SmallDiesisDown | SAGITTAL_25SDD"
"194","\!)","accSagittal35MediumDiesisDown","accSagittal35MediumDiesisDown | SAGITTAL_35MDD"
"195","\!/","accSagittal11MediumDiesisDown","accSagittal11MediumDiesisDown | SAGITTAL_11MDD"
"196","(!)","accSagittal11LargeDiesisDown","accSagittal11LargeDiesisDown | SAGITTAL_11LDD"
"197","(!/","accSagittal35LargeDiesisDown","accSagittal35LargeDiesisDown | SAGITTAL_35LDD"
"198",")!!(","accSagittalFlat25SUp","accSagittalFlat25SUp | SAGITTAL_FLAT25SU"
"199","!!)","accSagittalFlat7CUp","accSagittalFlat7CUp | SAGITTAL_FLAT7CU"
"200","!!/","accSagittalFlat5CUp","accSagittalFlat5CUp | SAGITTAL_FLAT5CU"
"201","\!!)","accSagittalFlat5v7kUp","accSagittalFlat5v7kUp | SAGITTAL_FLAT5V7KU"
"202","\!!/","accSagittalFlat","accSagittalFlat | SAGITTAL_FLAT"
"203","!!!(","accSagittalFlat5v7kDown","accSagittalFlat5v7kDown"
"204","\!!!","accSagittalFlat5CDown","accSagittalFlat5CDown"
"205","!!!)","accSagittalFlat7CDown","accSagittalFlat7CDown"
"206","=!!!","accSagittalFlat25SDown","accSagittalFlat25SDown"
"207","\!!!)","accSagittalFlat35MDown","accSagittalFlat35MDown"
"208","\!!!/","accSagittalFlat11MDown","accSagittalFlat11MDown"
"209","(!!!)","accSagittalFlat11LDown","accSagittalFlat11LDown"
"210","(!!!/","accSagittalFlat35LDown","accSagittalFlat35LDown"
"211",")Y(","accSagittalDoubleFlat25SUp","accSagittalDoubleFlat25SUp"
"212","Y)","accSagittalDoubleFlat7CUp","accSagittalDoubleFlat7CUp"
"213","Y/","accSagittalDoubleFlat5CUp","accSagittalDoubleFlat5CUp"
"214","\Y)","accSagittalDoubleFlat5v7kUp","accSagittalDoubleFlat5v7kUp"
"215","\Y/","accSagittalDoubleFlat","accSagittalDoubleFlat"
"216","=X","accSagittalDoubleSharp7v11kDown","accSagittalDoubleSharp7v11kDown"
"217","(X(","accSagittalDoubleSharp17CDown","accSagittalDoubleSharp17CDown"
"218","/X","accSagittalDoubleSharp55CDown","accSagittalDoubleSharp55CDown"
"219",")X~","accSagittalDoubleSharp7v11CDown","accSagittalDoubleSharp7v11CDown"
"220","~X(","accSagittalDoubleSharp5v11SDown","accSagittalDoubleSharp5v11SDown"
"221","(|||(","accSagittalSharp5v11SUp","accSagittalSharp5v11SUp"
